鏕 ao2  旰 gan4  啷 lang1  胊 qu2  汹 xiong1  
袄 ao3  紺 gan4  郎 lang2  蠷 qu2  芎 xiong1  
媪 ao3  刚 gang1  狼 lang2  臞 qu2  詾 xiong1  
蝹 ao3  钢 gang1  廊 lang2  葋 qu2  雄 xiong2  
襖 ao3  纲 gang1  琅 lang2  取 qu3  熊 xiong2  
奥 ao4  冈 gang1  螂 lang2  娶 qu3  诇 xiong4  
澳 ao4  缸 gang1  榔 lang2  龋 qu3  詗 xiong4  
傲 ao4  肛 gang1  阆 lang2  齲 qu3  修 xiu1  
懊 ao4  罡 gang1  锒 lang2  去 qu4  休 xiu1  
坳 ao4  綱 gang1  鎯 lang2  趣 qu4  羞 xiu1  
鏊 ao4  鋼 gang1  艆 lang2  觑 qu4  馐 xiu1  
骜 ao4  罁 gang1  郞 lang2  阒 qu4  咻 xiu1  
岙 ao4  釭 gang1  稂 lang2  闃 qu4  庥 xiu1  
謸 ao4  杠 gang1/gang4  閬 lang2  閴 qu4  鸺 xiu1  
驁 ao4  扛 gang1/kang2  羮 lang2  悛 quan1  髹 xiu1  
拗 ao4/niu4  港 gang3  朗 lang3  腃 quan1  貅 xiu1  
八 ba1  岗 gang3  脼 lang3  全 quan2  髤 xiu1  
巴 ba1  筻 gang4  浪 lang4  权 quan2  脙 xiu1  
叭 ba1  高 gao1  莨 lang4  泉 quan2  鵂 xiu1  
疤 ba1  糕 gao1  蒗 lang4  拳 quan2  饈 xiu1  
芭 ba1  膏 gao1  捞 lao1  痊 quan2  銝 xiu1  
笆 ba1  睾 gao1  粩 lao1  蜷 quan2  朽 xiu3  
粑 ba1  羔 gao1  劳 lao2  诠 quan2  秀 xiu4  
捌 ba1  皋 gao1  牢 lao2  荃 quan2  袖 xiu4  
鲃 ba1  篙 gao1  崂 lao2  颧 quan2  绣 xiu4  
岜 ba1  槔 gao1  痨 lao2  铨 quan2  嗅 xiu4  
釟 ba1  鷱 gao1  醪 lao2  醛 quan2  锈 xiu4  
吧 ba1/ba  臯 gao1  顟 lao2  鬈 quan2  岫 xiu4  
扒 ba1/pa2  韟 gao1  铹 lao2  筌 quan2  溴 xiu4  
拔 ba2  搞 gao3  蟧 lao2  鳈 quan2  螑 xiu4  
跋 ba2  稿 gao3  唠 lao2/lao4  鰁 quan2  鏽 xiu4  
魃 ba2  槁 gao3  老 lao3  詮 quan2  蓿 xu  
菝 ba2  杲 gao3  佬 lao3  譔 quan2  需 xu1  
茇 ba2  缟 gao3  铑 lao3  絟 quan2  须 xu1  
釛 ba2  藁 gao3  栳 lao3  辁 quan2  虚 xu1  
軷 ba2  菒 gao3  蛯 lao3  硂 quan2  墟 xu1  
鼥 ba2  筶 gao3  荖 lao3  葲 quan2  嘘 xu1  
靶 ba3  縞 gao3  潦 lao3/liao2  銓 quan2  胥 xu1  
钯 ba3  藳 gao3  姥 lao3/mu3  顴 quan2  戌 xu1  
把 ba3/ba4  镐 gao3/hao4  烙 lao4  犬 quan3  虛 xu1  
爸 ba4  告 gao4  酪 lao4  绻 quan3  須 xu1  
霸 ba4  诰 gao4  涝 lao4  畎 quan3  繻 xu1  
坝 ba4  锆 gao4  耢 lao4  券 quan4  盱 xu1  
鲅 ba4  郜 gao4  耮 lao4  劝 quan4  魆 xu1  
灞 ba4  誥 gao4  络 lao4/luo4  缺 que1  谞 xu1  
鲌 ba4  祮 gao4  饹 le  炔 que1/gui4  諝 xu1  
