potilas potilaan potilasta potilaana potilaaseen potilaiden potilaita potilaina potilaissa potilaisiin
kalsium kalsiumin kalsiumia kalsiumina kalsiumiin kalsiumien kalsiumeja kalsiumeina kalsiumeissa kalsiumeihin

virtsa virtsan virtsaa virtsana virtsaan virtsojen virtsoja virtsoina virtsoissa virtsoihin

määrä määrän määrää määränä määrään määrien määriä määrinä määrissä määriin

PTH PTH:n PTH:ta PTH:na PTH:hon PTH:iden PTH:ita PTH:ina PTH:issa PTH:ihin

tiheys tiheyden tiheyttä tiheytenä tiheyteen tiheyksien tiheyksiä tiheyksinä tiheyksissä tiheyksiin

tulehdus tulehduksen tulehdusta tulehduksena tulehdukseen tulehdusten tulehduksia tulehduksina tulehduksissa tulehduksiin

pilleri pillerin pilleriä pillerinä pilleriin pillereiden pillereitä pillereinä pillereissä pillereihin

tuote tuotteen tuotetta tuotteena tuotteeseen tuotteiden tuotteita tuotteina tuotteissa tuotteisiin

valmiste valmisteen valmistetta valmisteena valmisteeseen valmisteiden valmisteita valmisteina valmisteissa valmisteisiin

diagnoosi diagnoosin diagnoosia diagnoosina diagnoosiin diagnoosien diagnooseja diagnooseina diagnooseissa diagnooseihin

väsymys väsymyksen väsymystä väsymyksenä väsymykseen väsymysten väsymyksiä väsymyksinä väsymyksissä väsymyksiin

poikkeavuus poikkeavuuden poikkeavuutta poikkeavuutena poikkeavuuteen poikkeavuuksien poikkeavuuksia poikkeavuuksina poikkeavuuksissa poikkeavuuksiin

vaihdunta vaihdunnan vaihduntaa vaihduntana vaihduntaan vaihduntojen vaihduntoja vaihduntoina vaihdunnoissa vaihduntoihin

häiriö häiriön häiriötä häiriönä häiriöön häiriöiden häiriöitä häiriöinä häiriöissä häiriöihin

piirre piirteen piirrettä piirteenä piirteeseen piirteiden piirteitä piirteinä piirteissä piirteisiin

eritys erityksen eritystä erityksenä eritykseen eritysten erityksiä erityksinä erityksissä erityksiin

raja rajan rajaa rajana rajaan rajojen rajoja rajoina rajoissa rajoihin

tieto tiedon tietoa tietona tietoon tietojen tietoja tietoina tiedoissa tietoihin

reseptio reseption reseptiota reseptiona reseptioon reseptioiden reseptioita reseptioina reseptioissa reseptioihin

munuainen munuaisen munuaista munuaisena munuaiseen munuaisten munuaisia munuaisina munuaisissa munuaisiin

reabsorptio reabsorption reabsorptiota reabsorptiona reabsorptioon reabsorptioiden reabsorptioita reabsorptioina reabsorptioissa reabsorptioihin

luusto luuston luustoa luustona luustoon luustojen luustoja luustoina luustoissa luustoihin

imeytyminen imeytymisen imeytymistä imeytymisenä imeytymiseen imeytymisten imeytymisiä imeytymisinä imeytymisissä imeytymisiin

suolisto suoliston suolistoa suolistona suolistoon suolistojen suolistoja suolistoina suolistoissa suolistoihin

vitamiini vitamiinin vitamiinia vitamiinina vitamiiniin vitamiinien vitamiineja vitamiineina vitamiineissa vitamiineihin

muodostus muodostuksen muodostusta muodostuksena muodostukseen muodostusten muodostuksia muodostuksina muodostuksissa muodostuksiin

CaR CaR:n CaR:ää CaR:nä CaR:ään CaR:ien CaR:iä CaR:inä CaR:issä CaR:iin

synteesi synteesin synteesiä synteesinä synteesiin synteesien synteesejä synteeseinä synteeseissä synteeseihin

vaikutus vaikutuksen vaikutusta vaikutuksena vaikutukseen vaikutusten vaikutuksia vaikutuksina vaikutuksissa vaikutuksiin

syy syyn syytä syynä syyhyn syiden syitä syinä syissä syihin

taulukko taulukon taulukkoa taulukkona taulukkoon taulukkojen taulukkoja taulukkoina taulukoissa taulukkoihin

sairaus sairauden sairautta sairautena sairauteen sairauksien sairauksia sairauksina sairauksissa sairauksiin

tausta taustan taustaa taustana taustaan taustojen taustoja taustoina taustoissa taustoihin

toiminta toiminnan toimintaa toimintana toimintaan toimintojen toimintoja toimintoina toiminnoissa toimintoihin

kriteeri kriteerin kriteeriä kriteerinä kriteeriin kriteerien kriteerejä kriteereinä kriteereissä kriteereihin

puhdistuma puhdistuman puhdistumaa puhdistumana puhdistumaan puhdistumien puhdistumia puhdistumina puhdistumissa puhdistumiin

suhde suhteen suhdetta suhteena suhteeseen suhteiden suhteita suhteina suhteissa suhteisiin

kreatiniini kreatiniinin kreatiniinia kreatiniinina kreatiniiniin kreatiniinien kreatiniineja kreatiniineina kreatiniineissa kreatiniineihin

poistuma poistuman poistumaa poistumana poistumaan poistumien poistumia poistumina poistumissa poistumiin

FHH FHH:n FHH:ta FHH:na FHH:hon FHH:iden FHH:ita FHH:ina FHH:issa FHH:ihin

historia historian historiaa historiana historiaan historioiden historioita historioina historioissa historioihin

mahdollisuus mahdollisuuden mahdollisuutta mahdollisuutena mahdollisuuteen mahdollisuuksien mahdollisuuksia mahdollisuuksina mahdollisuuksissa mahdollisuuksiin

