eläin eläimen eläintä eläimenä eläimeen eläimien eläimiä eläiminä eläimissä eläimiin
hiekka hiekan hiekkaa hiekkana hiekkaan hiekkojen hiekkoja hiekkoina hiekoissa hiekkoihin

savu savun savua savuna savuun savujen savuja savuina savuissa savuihin

lumi lumen lunta lumena lumeen lumien lumia lumina lumissa lumiin

vesi veden vettä vetenä veteen vesien vesiä vesinä vesissä vesiin

paha pahan pahaa pahana pahaan pahojen pahoja pahoina pahoissa pahoihin

suuri suuren suurta suurena suureen suurten/suurien suuria suurina suurissa suuriin

musta mustan mustaa mustana mustaan mustien mustia mustina mustissa mustiin

kylmä kylmän kylmää kylmänä kylmään kylmien kylmiä kylminä kylmissä kylmiin

oikea oikean oikeaa oikeana oikeaan oikeiden oikeita oikeina oikeissa oikeisiin

likainen likaisen likaista likaisena likaiseen likaisten likaisia likaisina likaisissa likaisiin

kuiva kuivan kuivaa kuivana kuivaan kuivien kuivia kuivina kuivissa kuiviin

tylsä tylsän tylsää tylsänä tylsään tylsien tylsiä tylsinä tylsissä tylsiin

täysi täyden täyttä täytenä täyteen täysien täysiä täysinä täysissä täysiin

hyvä hyvän hyvää hyvänä hyvään hyvien hyviä hyvinä hyvissä hyviin

vihreä vihreän vihreää vihreänä vihreään vihreiden vihreitä vihreinä vihreissä vihreisiin

raskas raskaan raskasta raskaana raskaaseen raskaiden raskaita raskaina raskaissa raskaisiin

pitkä pitkän pitkää pitkänä pitkään pitkien pitkiä pitkinä pitkissä pitkiin

kapea kapean kapeaa kapeana kapeaan kapeiden kapeita kapeina kapeissa kapeisiin

läheinen läheisen läheistä läheisenä läheiseen läheisten läheisiä läheisinä läheisissä läheisiin

uusi uuden uutta uutena uuteen uusien uusia uusina uusissa uusiin

vanha vanhan vanhaa vanhana vanhaan vanhojen vanhoja vanhoina vanhoissa vanhoihin
punainen punaisen punaista punaisena punaiseen punaisten punaisia punaisina punaisissa punaisiin

