valo valon valoa valona valoon valojen valoja valoina valoissa valoihin
kevät kevään kevättä keväänä kevääseen keväiden keväitä keväinä keväissä keväihin/keväisiin

kahdeksan kahdeksan kahdeksaa kahdeksana kahdeksaan kahdeksien kahdeksia kahdeksina kahdeksissa kahdeksiin

tuhat tuhannen tuhatta tuhantena tuhanteen tuhansien tuhansia tuhansina tuhansissa tuhansiin

kuollut kuolleen kuollutta kuolleena kuolleeseen kuolleiden kuolleita kuolleina kuolleissa kuolleisiin

hame hameen hametta hameena hameeseen hameiden hameita hameina hameissa hameisiin/hameihin

terve terveen tervettä terveenä terveeseen terveiden terveitä terveinä terveissä terveisiin/terveihin

ori oriin oritta oriina oriiseen oritten oriita oriina oriissa oriihin

kiiru kiiruun kiirutta kiiruuna kiiruuseen kiiruiden kiiruita kiiruina kiiruissa kiiruihin

askel askelen askelta askelena askeleen askelten/askelien askelia askelina askelissa askeliin

