Aino Ainon Ainoa Ainona Ainoon Ainojen Ainoja Ainoina Ainoissa Ainoihin
kierros kierrosin kierrosia kierrosina kierrosiin kierrosien kierroseja kierroseina kierroseissa kierroseihin

lupa luvan lupaa lupana lupaan lupien lupia lupina luvissa lupiin

vuode vuoteen vuodetta vuoteena vuoteeseen vuoteiden vuoteita vuoteina vuoteissa vuoteisiin

sänky sängyn sänkyä sänkynä sänkyyn sänkyjen sänkyjä sänkyinä sängyissä sänkyihin

aamu aamun aamua aamuna aamuun aamujen aamuja aamuina aamuissa aamuihin

pehko pehkon pehkoa pehkona pehkoon pehkojen pehkoja pehkoina pehkoissa pehkoihin

tyyny tyynyn tyynyä tyynynä tyynyyn tyynyjen tyynyjä tyynyinä tyynyissä tyynyihin

tyttö tytön tyttöä tyttönä tyttöön tyttöjen tyttöjä tyttöinä tytöissä tyttöihin

luistin luistimen luistinta luistimena luistimeen luistimien luistimia luistimina luistimissa luistimiin

prinsessa prinsessan prinsessaa prinsessana prinsessaan prinsessojen prinsessoja prinsessoina prinsessoissa prinsessoihin

rata radan rataa ratana rataan ratojen ratoja ratoina radoissa ratoihin

perhonen perhosen perhosta perhosena perhoseen perhosten perhosia perhosina perhosissa perhosiin

ote otteen otetta otteena otteeseen otteiden otteita otteina otteissa otteisiin

jää jään jäätä jäänä jäähän jäiden jäitä jäinä jäissä jäihin

jalka jalan jalkaa jalkana jalkaan jalkojen jalkoja jalkoina jaloissa jalkoihin

kerta kerran kertaa kertana kertaan kertojen kertoja kertoina kerroissa kertoihin

harjoittelu harjoittelun harjoittelua harjoitteluna harjoitteluun harjoittelujen harjoitteluja harjoitteluina harjoitteluissa harjoitteluihin

asia asian asiaa asiana asiaan asiojen asioja asioina asioissa asioihin

mieli mielin mieliä mielinä mieliin mielien mielejä mieleinä mieleissä mieleihin

puuha puuhan puuhaa puuhana puuhaan puuhien puuhia puuhina puuhissa puuhiin

naapuri naapurin naapuria naapurina naapuriin naapurien naapureja naapureina naapureissa naapureihin

Sanna Sannan Sannaa Sannana Sannaan Sannojen Sannoja Sannoina Sannoissa Sannoihin

koulu koulun koulua kouluna kouluun koulujen kouluja kouluina kouluissa kouluihin

tehtävä tehtävän tehtävää tehtävänä tehtävään tehtävien tehtäviä tehtävinä tehtävissä tehtäviin

rehtori rehtorin rehtoria rehtorina rehtoriin rehtorien rehtoreja rehtoreina rehtoreissa rehtoreihin

viitta viitan viittaa viittana viittaan viittojen viittoja viittoina viitoissa viittoihin

hyppy hypyn hyppyä hyppynä hyppyyn hyppyjen hyppyjä hyppyinä hypyissä hyppyihin

taivutus taivutuden taivututta taivututena taivututeen taivutuksien taivutuksia taivutuksina taivutuksissa taivutuksiin

opettaja opettajan opettajaa opettajana opettajaan opettajien opettajia opettajina opettajissa opettajiin

saavutus saavutuden saavututta saavututena saavututeen saavutuksien saavutuksia saavutuksina saavutuksissa saavutuksiin

pelle pelteen pellettä pelteenä pelteeseen pelteiden pelteitä pelteinä pelteissä pelteisiin

